OBJECTID,uuid,event_id,event_name,start_date,end_date,locality,season,geometry_source,year,long,lat,location,OBJECTID,TARGET_FID,DATASETNAM,COMPLEVEL,WSCMDA,WSCSDA,WSCSSDA,FDA,WSCMDANAME,WSCSDANAME,WSCSSDANAM
156,0e0d1341-6d6d-4692-9b44-2acd5eb3e41f,8d45d0e6-f9a1-4560-b41a-b964b0ad0a2e,,5/6/2011,n/a - nd,Biencourt,spring,MSPQ,2011,-69,47.9318843,-68.55496009999996 47.931884300000036,156,156,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
159,6a6e30b0-8216-4898-b4dd-0a123ace2f26,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Cabano,spring,MSPQ,2008,-69,47.6709523,-68.87713349999996 47.67095230000007,159,159,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
160,7ba22c44-e542-4396-bf69-11df3bd3a000,e94c9f60-4723-4586-adac-9486187adda3,,3/29/2020,5/17/2020,Dégelis,spring,MSPQ,2020,-69,47.5529245,-68.63262599999996 47.552924500000074,160,160,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
161,538d9233-0710-412a-a8e2-2df271b5d8df,daead2f5-125a-44a1-bae3-68ab6b539576,,5/2/1991,n/a - nd,Dégelis,spring,MSPQ,1991,-69,47.5529245,-68.63262599999996 47.552924500000074,161,161,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
162,84badaf4-575e-4cbe-abf3-1bd09513bcf5,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Dégelis,spring,MSPQ,2008,-69,47.556703,-68.64273679999997 47.55670300000003,162,162,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
163,a8d127a3-6b85-4ec1-b0a2-5ed434b2dd79,fa252146-0ea4-4d27-86e6-0d93be3fe38f,,5/2/2005,n/a - nd,Dégelis,spring,MSPQ,2005,-69,47.5493239,-68.55286019999994 47.54932390000005,163,163,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
164,d6c35af7-d1f8-46ad-8645-8bf0e6710127,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Esprit-Saint,spring,MSPQ,2008,-69,48.0491346,-68.52879009999998 48.04913460000006,164,164,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
165,e4f11ec6-78b0-454c-bcfb-27cd2adbcec4,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Témiscouata-sur-le-Lac,spring,MSPQ,2008,-69,47.6423569,-68.87081819999997 47.64235690000004,165,165,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
166,9a4e35f4-c222-4262-b55d-4dab4004e208,fa252146-0ea4-4d27-86e6-0d93be3fe38f,,5/2/2005,n/a - nd,Témiscouata-sur-le-Lac,spring,MSPQ,2005,-69,47.6423569,-68.86368779999998 47.64235690000004,166,166,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
237,db3bc28c-723c-40bb-841a-570c92098b19,de8d7590-985b-48c3-8b5e-51e27900e793,,4/17/1994,n/a - nd,Pohénégamook,spring,MSPQ,1994,-69,47.5221746,-69.23643239999996 47.52217460000003,237,237,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
405,7c8d289d-f950-4662-ac57-8c7bf168b7da,92dceb97-6538-48af-aecc-4a0dfb5f53a2,,12/24/2004,n/a - nd,Saint-Honoré-de-Témiscouata,winter,MSPQ,2004,-69,47.694633,-69.18112089999994 47.69463300000007,405,405,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
407,9bf24170-853e-436c-b994-ec5e958bd245,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Saint-Pierre-de-Lamy,spring,MSPQ,2008,-69,47.7735727,-69.02016389999994 47.773572700000045,407,407,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
408,e5c9a741-4df7-4d93-a4b8-6c0a44fec27d,8d45d0e6-f9a1-4560-b41a-b964b0ad0a2e,,5/6/2011,n/a - nd,Saint-Pierre-de-Lamy,spring,MSPQ,2011,-69,47.785508,-68.99318719999997 47.78550800000005,408,408,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
418,deddce9e-8a56-422f-8467-6872e248d342,15c4816e-a892-4a0f-9bbb-4ce2cceeb77e,,4/7/2017,5/15/2017,Témiscouata-sur-le-Lac,spring,MSPQ,2017,-69,47.6850891,-68.87671669999997 47.68508910000003,418,418,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
488,3003c7a0-2111-49c6-bbda-6e1b9a8efd70,8d45d0e6-f9a1-4560-b41a-b964b0ad0a2e,,5/6/2011,n/a - nd,Dégelis,spring,MSPQ,2011,-69,47.5489216,-68.54715589999995 47.54892160000003,488,488,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
492,5a2f1c0d-d98f-4a89-ac82-a0e0098aadd5,8d45d0e6-f9a1-4560-b41a-b964b0ad0a2e,,5/6/2011,n/a - nd,Biencourt,spring,MSPQ,2011,-69,47.9355673,-68.60918129999999 47.93556730000006,492,492,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
531,f20c03cf-16bc-4d52-8379-6144d17ca81b,15c4816e-a892-4a0f-9bbb-4ce2cceeb77e,,4/7/2017,5/15/2017,Saint-Michel-du-Squatec,spring,MSPQ,2017,-69,47.8971471,-68.69590879999998 47.89714710000004,531,531,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
546,50e2348b-c5d7-425e-9c41-103b311e87fa,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Biencourt,spring,MSPQ,2008,-69,47.9318844,-68.57011209999996 47.93188440000006,546,546,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
555,7b9d19ab-e451-476d-84cb-17d03e246da6,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Lejeune,spring,MSPQ,2008,-69,47.7157696,-68.59386349999994 47.715769600000044,555,555,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
585,f9630f4a-650c-4219-936d-a946233c149f,34b8bf87-c039-46fb-ae9c-90a5c30d41cc,,4/25/2005,n/a - nd,Pohénégamook,spring,MSPQ,2005,-69,47.480438,-69.22120299999995 47.48043800000005,585,585,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
586,ff59fed1-5ed5-481f-b588-8a7d57cc2a7f,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Pohénégamook,spring,MSPQ,2008,-69,47.5166639,-69.25072669999997 47.516663900000026,586,586,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
592,02f96fb7-d699-41c9-914e-87074f1caa3d,92dceb97-6538-48af-aecc-4a0dfb5f53a2,,12/24/2004,n/a - nd,Pohénégamook,winter,MSPQ,2004,-69,47.5065889,-69.30648869999999 47.506588900000054,592,592,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
593,96562358-32a5-4d80-88e2-fc059cda839f,8d45d0e6-f9a1-4560-b41a-b964b0ad0a2e,,5/6/2011,n/a - nd,Pohénégamook,spring,MSPQ,2011,-69,47.4784898,-69.26374269999997 47.478489800000034,593,593,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
594,daaae84e-3f61-467f-a64d-e46282ff31e2,023493ce-1382-4da3-adf8-aca6a9a5a867,,4/1/2014,n/a - nd,Pohénégamook,spring,MSPQ,2014,-69,47.4877156,-69.21967599999994 47.48771560000006,594,594,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
595,9f21cfc9-31e6-4ed3-8ff2-0563f76fdc84,8d45d0e6-f9a1-4560-b41a-b964b0ad0a2e,,5/6/2011,n/a - nd,Pohénégamook,spring,MSPQ,2011,-69,47.4749851,-69.15471459999998 47.474985100000026,595,595,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
649,3af6870c-5224-43eb-af11-1b868bdfe2e5,fa252146-0ea4-4d27-86e6-0d93be3fe38f,,5/2/2005,n/a - nd,Pohénégamook,spring,MSPQ,2005,-69,47.4633108,-69.24873269999995 47.463310800000045,649,649,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
650,167fbd8e-e9d5-47e1-ba03-5f654a84b5d7,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Pohénégamook,spring,MSPQ,2008,-69,47.5243883,-69.23940339999996 47.524388300000055,650,650,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
674,f20d71b2-96db-447b-931e-65b7892671ba,15c4816e-a892-4a0f-9bbb-4ce2cceeb77e,,4/7/2017,5/15/2017,Témiscouata-sur-le-Lac,spring,MSPQ,2017,-69,47.6846391,-68.87542539999998 47.68463910000003,674,674,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
678,37da256b-497c-437f-843f-d409d3c6802d,15c4816e-a892-4a0f-9bbb-4ce2cceeb77e,,4/7/2017,5/15/2017,Dégelis,spring,MSPQ,2017,-69,47.5506765,-68.63967369999995 47.550676500000066,678,678,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
770,5c68436f-e676-4964-8112-27dabf571b2a,904eae95-1b13-4eb9-88bb-95e40de73031,,1/16/1995,n/a - nd,Pohénégamook,winter,MSPQ,1995,-69,47.5243883,-69.25574389999997 47.524388300000055,770,770,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
824,8bceb60a-cf6f-42bc-a19d-a41165d26c02,1bf8dbca-cc7f-4713-aaa7-5a01e7f99f7d,,4/10/1993,n/a - nd,Pohénégamook,spring,MSPQ,1993,-69,47.4566601,-69.15717779999994 47.45666010000008,824,824,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
843,dda73221-d7a1-4cbd-9fe8-60a6ec25a362,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Auclair,spring,MSPQ,2008,-69,47.72324,-68.61715339999995 47.72324000000003,843,843,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
847,b95aa353-9a83-48c7-ade2-87ec001729af,34b8bf87-c039-46fb-ae9c-90a5c30d41cc,,4/25/2005,n/a - nd,Pohénégamook,spring,MSPQ,2005,-69,47.4678108,-69.25686869999998 47.46781080000005,847,847,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
859,cb4ce330-bfcb-4b03-9290-3b7ea05b6853,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Auclair,spring,MSPQ,2008,-69,47.7243281,-68.61191799999995 47.72432810000004,859,859,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
864,bbea01bf-7553-4a34-b4d1-cf99b6ccc452,34b8bf87-c039-46fb-ae9c-90a5c30d41cc,,4/25/2005,n/a - nd,Rivière-Bleue,spring,MSPQ,2005,-69,47.4345482,-69.04906489999996 47.43454820000005,864,864,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
1484,0b6dac0d-3385-4d48-8777-b061f86d6250,4c933a14-d949-4987-bf3a-0c7137630e97,,1/25/1996,n/a - nd,Pohénégamook,winter,MSPQ,1996,-69,47.524187,-69.24861349999998 47.52418700000004,1484,1484,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
1536,1302ebc2-031b-4790-b235-d31de037234a,e287ed58-0d88-45f9-8fe8-cc31b2d25fbe,,4/24/2007,n/a - nd,Pohénégamook,spring,MSPQ,2007,-69,47.4834576,-69.21398549999998 47.483457600000065,1536,1536,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
1544,c849edaf-3a03-48d6-a414-bfbe1ff2766d,92dceb97-6538-48af-aecc-4a0dfb5f53a2,,12/24/2004,n/a - nd,Pohénégamook,winter,MSPQ,2004,-69,47.5245895,-69.24237439999996 47.52458950000005,1544,1544,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
1563,7b2c22a0-fdfa-4de6-95ed-8942e939320a,8d45d0e6-f9a1-4560-b41a-b964b0ad0a2e,,5/6/2011,n/a - nd,Auclair,spring,MSPQ,2011,-69,47.8138535,-68.68635559999996 47.81385350000005,1563,1563,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
1580,a05f027c-9c9f-4515-824f-886f1b2b7890,daead2f5-125a-44a1-bae3-68ab6b539576,,5/2/1991,n/a - nd,Saint-Michel-du-Squatec,spring,MSPQ,1991,-69,47.8790518,-68.73073019999998 47.87905180000007,1580,1580,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
1582,79a82f28-0659-4c5c-bda7-dc400499cbbb,dc14cd63-1e9b-4dfd-abae-ef250ed39bfd,,4/29/2008,5/1/2008,Saint-Michel-du-Squatec,spring,MSPQ,2008,-69,47.8815597,-68.72366619999997 47.881559700000025,1582,1582,01AD000,NHN-CL2,1,01A,01AD,01AD,Maritime Provinces Drainage Area,Saint John and Southern Bay of Fundy (N.B.),Upper Saint John - St. Francis
55,6f3d2005-1965-4565-9552-229de04c049c,2d9ec237-03d1-46f4-9a81-8d661d5c3a95,,3/23/2012,3/25/2012,Sainte-Irène,spring,MSPQ,2012,-68,48.4304342,-67.68065719999998 48.430434200000036,55,55,01BD000,NHN-CL2,1,01B,01BD,01BD,Maritime Provinces Drainage Area,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Matapédia
56,c61af70b-9271-490d-ade5-3b0a9a52e58f,2d9ec237-03d1-46f4-9a81-8d661d5c3a95,,3/23/2012,3/25/2012,Sayabec,spring,MSPQ,2012,-68,48.5496658,-67.69857409999997 48.54966580000007,56,56,01BD000,NHN-CL2,1,01B,01BD,01BD,Maritime Provinces Drainage Area,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Matapédia
62,27459196-5996-405e-8655-167ac2991894,15c4816e-a892-4a0f-9bbb-4ce2cceeb77e,,4/7/2017,5/15/2017,Val-Brillant,spring,MSPQ,2017,-68,48.5309377,-67.53016149999996 48.53093770000004,62,62,01BD000,NHN-CL2,1,01B,01BD,01BD,Maritime Provinces Drainage Area,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Matapédia
64,d8bf38ef-fd7b-4218-b511-c528712daa2c,15c4816e-a892-4a0f-9bbb-4ce2cceeb77e,,4/7/2017,5/15/2017,Amqui,spring,MSPQ,2017,-67,48.4627387,-67.43007609999995 48.462738700000045,64,64,01BD000,NHN-CL2,1,01B,01BD,01BD,Maritime Provinces Drainage Area,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Matapédia
